"","s","x","y","pi","time","ID","sex","genus","species","treatment"
"229",2232,721,418,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"230",1225,141,603,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"231",1732,202,791,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"232",1720,1227,794,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"233",1619,444,1032,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"234",1730,1326,1502,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"235",1484,1172,1592,"mothra03",2022-06-24 22:16:00,"99.9%_s10g15","male","photinus","greeni","D"
"236",1543,1395,550,"mothra03",2022-06-24 22:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"237",1955,505,661,"mothra03",2022-06-24 22:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"238",2099,1328,900,"mothra03",2022-06-24 22:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"239",2101,240,902,"mothra03",2022-06-24 22:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"240",514,419,1439,"mothra03",2022-06-24 22:18:00,"99.9%_s10g15","male","photinus","greeni","D"
"241",1939,1463,503,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"242",2057,962,897,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"243",1221,212,1099,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"244",1886,1164,1223,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"245",1607,1296,1531,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"246",120,1037,1598,"mothra03",2022-06-24 22:20:00,"99.9%_s10g15","male","photinus","greeni","D"
"247",443,1641,388,"mothra03",2022-06-24 22:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"248",1400,173,557,"mothra03",2022-06-24 22:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"249",1539,602,1205,"mothra03",2022-06-24 22:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"250",1792,614,1396,"mothra03",2022-06-24 22:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"251",5288,843,1492,"mothra03",2022-06-24 22:22:00,"99.9%_s10g15","male","photinus","greeni","D"
"252",1182,1599,120,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"253",1632,1218,177,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"254",2152,346,466,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"255",1271,71,464,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"256",1929,780,1117,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"257",1221,1784,1550,"mothra03",2022-06-24 22:24:00,"99.9%_s10g15","male","photinus","greeni","D"
"258",254,1574,86,"mothra03",2022-06-24 22:26:00,"99.9%_s10g15","male","photinus","greeni","D"
