"s","x","y","d","ID","sex","genus","species"
2018,653,888,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
1742,207,998,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
1204,1639,994,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
1607,825,1011,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
2212,1034,1311,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
1775,891,1344,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
1997,829,1393,"mothra03.0624.2140","99.9%_s10g15","male","photinus","greeni"
299,141,406,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
2121,415,613,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
1500,1456,1288,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
2073,1328,1304,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
1832,1289,1378,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
1687,1192,1564,"mothra03.0624.2142","99.9%_s10g15","male","photinus","greeni"
1940,1118,436,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1578,1656,795,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1691,545,1034,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
893,64,1175,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1003,192,1220,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
750,232,1222,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1024,1536,1421,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1726,651,1546,"mothra03.0624.2144","99.9%_s10g15","male","photinus","greeni"
1911,1249,89,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
555,1701,538,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
1991,1272,838,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
2016,987,987,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
1285,1514,988,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
2122,649,1290,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
1442,1099,1389,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
1248,1458,1462,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
1749,680,1466,"mothra03.0624.2146","99.9%_s10g15","male","photinus","greeni"
2033,493,58,"mothra03.0624.2148","99.9%_s10g15","male","photinus","greeni"
1843,467,782,"mothra03.0624.2148","99.9%_s10g15","male","photinus","greeni"
1033,38,825,"mothra03.0624.2148","99.9%_s10g15","male","photinus","greeni"
588,149,1062,"mothra03.0624.2148","99.9%_s10g15","male","photinus","greeni"
881,860,1589,"mothra03.0624.2148","99.9%_s10g15","male","photinus","greeni"
1193,1597,759,"mothra03.0624.2150","99.9%_s10g15","male","photinus","greeni"
2786,505,930,"mothra03.0624.2150","99.9%_s10g15","male","photinus","greeni"
1906,1760,1185,"mothra03.0624.2150","99.9%_s10g15","male","photinus","greeni"
1693,1007,1452,"mothra03.0624.2150","99.9%_s10g15","male","photinus","greeni"
1151,1361,1516,"mothra03.0624.2150","99.9%_s10g15","male","photinus","greeni"
1582,626,439,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
1920,704,515,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
1775,835,1321,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
1114,1541,1356,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
1486,1430,1473,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
1090,1323,1550,"mothra03.0624.2152","99.9%_s10g15","male","photinus","greeni"
3140,890,401,"mothra03.0624.2154","99.9%_s10g15","male","photinus","greeni"
1237,24,768,"mothra03.0624.2154","99.9%_s10g15","male","photinus","greeni"
2015,690,1094,"mothra03.0624.2154","99.9%_s10g15","male","photinus","greeni"
2875,1001,1358,"mothra03.0624.2154","99.9%_s10g15","male","photinus","greeni"
1609,863,1583,"mothra03.0624.2154","99.9%_s10g15","male","photinus","greeni"
1240,1680,778,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
1247,1272,829,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
1107,1221,833,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
828,143,1064,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
1447,1141,1501,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
783,1356,1515,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
160,990,1598,"mothra03.0624.2156","99.9%_s10g15","male","photinus","greeni"
2320,1162,512,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
1206,162,665,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
2037,403,911,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
2070,686,1214,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
1859,1092,1431,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
1499,291,1457,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
993,1408,1491,"mothra03.0624.2158","99.9%_s10g15","male","photinus","greeni"
841,247,205,"mothra03.0624.2200","99.9%_s10g15","male","photinus","greeni"
1855,928,773,"mothra03.0624.2200","99.9%_s10g15","male","photinus","greeni"
2027,564,945,"mothra03.0624.2200","99.9%_s10g15","male","photinus","greeni"
1539,975,1126,"mothra03.0624.2200","99.9%_s10g15","male","photinus","greeni"
1670,344,1339,"mothra03.0624.2200","99.9%_s10g15","male","photinus","greeni"
2142,844,697,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
1938,336,1016,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
2170,548,1112,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
2179,248,1129,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
1677,1414,1466,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
2049,1116,1471,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
255,475,1476,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
2031,1074,1537,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
866,1156,1592,"mothra03.0624.2202","99.9%_s10g15","male","photinus","greeni"
1548,184,389,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
445,1708,800,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
388,1736,804,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
1795,598,865,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
1954,744,1203,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
2173,1140,1399,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
898,382,1417,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
1515,750,1568,"mothra03.0624.2204","99.9%_s10g15","male","photinus","greeni"
1598,569,258,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1767,306,472,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1075,1644,747,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1971,1174,1224,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
684,1582,1302,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1487,1501,1394,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
921,1453,1441,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1421,575,1514,"mothra03.0624.2206","99.9%_s10g15","male","photinus","greeni"
1993,834,194,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
1941,512,534,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
1796,715,994,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
1810,1458,1234,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
989,1577,1426,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
1186,1321,1543,"mothra03.0624.2208","99.9%_s10g15","male","photinus","greeni"
1628,1452,491,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
1565,501,589,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
1619,1638,885,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
2364,983,947,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
1605,311,1191,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
1862,560,1212,"mothra03.0624.2210","99.9%_s10g15","male","photinus","greeni"
1496,271,530,"mothra03.0624.2212","99.9%_s10g15","male","photinus","greeni"
1867,657,1240,"mothra03.0624.2212","99.9%_s10g15","male","photinus","greeni"
1528,801,1345,"mothra03.0624.2212","99.9%_s10g15","male","photinus","greeni"
1826,715,1354,"mothra03.0624.2212","99.9%_s10g15","male","photinus","greeni"
1796,1088,1487,"mothra03.0624.2212","99.9%_s10g15","male","photinus","greeni"
1196,303,188,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
805,224,287,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
2150,149,421,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
1635,1465,662,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
1872,476,754,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
2086,1097,1311,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
523,1090,1597,"mothra03.0624.2214","99.9%_s10g15","male","photinus","greeni"
2232,721,418,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1225,141,603,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1732,202,791,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1720,1227,794,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1619,444,1032,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1730,1326,1502,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1484,1172,1592,"mothra03.0624.2216","99.9%_s10g15","male","photinus","greeni"
1543,1395,550,"mothra03.0624.2218","99.9%_s10g15","male","photinus","greeni"
1955,505,661,"mothra03.0624.2218","99.9%_s10g15","male","photinus","greeni"
2099,1328,900,"mothra03.0624.2218","99.9%_s10g15","male","photinus","greeni"
2101,240,902,"mothra03.0624.2218","99.9%_s10g15","male","photinus","greeni"
514,419,1439,"mothra03.0624.2218","99.9%_s10g15","male","photinus","greeni"
